criteria_mode,year,target_usd,question,replicate,p
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",5,0.39
omitted,no_date,1000000,bitcoin will reach 1 million,46,0.09
empty,no_date,20000000,bitcoin will reach 20 million,80,0.6
omitted,no_date,1000000,bitcoin will reach 1 million,64,0.12
omitted,no_date,20000000,bitcoin will reach 20 million,62,0.46
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",44,0.4
omitted,no_date,20000000,bitcoin will reach 20 million,88,0.46
empty,no_date,1000000,bitcoin will reach 1 million,6,0.13
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",23,0.17
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",82,0.13
empty,no_date,100000000,bitcoin will reach 100 million,50,0.33
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",77,0.24
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",13,0.66
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,81,0.18
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",82,0.54
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",77,0.14
empty,no_date,1000000,bitcoin will reach 1 million,59,0.14
true_only,no_date,100000000,bitcoin will reach 100 million,22,0.46
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",62,0.26
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",59,0.15
omitted,no_date,20000000,bitcoin will reach 20 million,18,0.39
empty,no_date,100000000,bitcoin will reach 100 million,6,0.33
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",11,0.38
false_only,no_date,100000000,bitcoin will reach 100 million,15,0.41
true_only,no_date,1000000,bitcoin will reach 1 million,69,0.41
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",51,0.51
omitted,no_date,100000000,bitcoin will reach 100 million,47,0.35
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",35,0.37
false_only,no_date,1000000,bitcoin will reach 1 million,56,0.27
paired,no_date,100000000,bitcoin will reach 100 million,48,0.36
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,10,0.25
omitted,no_date,20000000,bitcoin will reach 20 million,36,0.42
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",33,0.16
omitted,no_date,1000000,bitcoin will reach 1 million,51,0.11
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",45,0.37
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",60,0.29
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,39,0.25
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,93,0.46
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,79,0.47
false_only,no_date,1000000,bitcoin will reach 1 million,29,0.25
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",1,0.42
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",69,0.15
omitted,no_date,100000000,bitcoin will reach 100 million,4,0.36
true_only,no_date,100000000,bitcoin will reach 100 million,19,0.46
omitted,no_date,1000000,bitcoin will reach 1 million,96,0.11
paired,no_date,20000000,bitcoin will reach 20 million,4,0.46
paired,no_date,1000000,bitcoin will reach 1 million,97,0.38
empty,no_date,100000000,bitcoin will reach 100 million,56,0.36
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",10,0.48
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",87,0.16
false_only,no_date,1000000,bitcoin will reach 1 million,22,0.27
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",75,0.18
true_only,no_date,100000000,bitcoin will reach 100 million,17,0.46
paired,no_date,100000000,bitcoin will reach 100 million,93,0.39
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",6,0.61
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",86,0.59
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",74,0.4
paired,no_date,20000000,bitcoin will reach 20 million,72,0.41
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",79,0.37
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",10,0.14
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",48,0.18
paired,no_date,100000000,bitcoin will reach 100 million,77,0.35
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,52,0.2
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",98,0.14
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",70,0.51
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",36,0.17
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",53,0.45
omitted,no_date,1000000,bitcoin will reach 1 million,85,0.11
false_only,no_date,100000000,bitcoin will reach 100 million,53,0.42
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,34,0.25
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",74,0.16
false_only,no_date,100000000,bitcoin will reach 100 million,7,0.41
false_only,no_date,100000000,bitcoin will reach 100 million,69,0.42
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",43,0.18
omitted,no_date,1000000,bitcoin will reach 1 million,82,0.11
empty,no_date,1000000,bitcoin will reach 1 million,94,0.14
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",2,0.43
false_only,no_date,20000000,bitcoin will reach 20 million,67,0.39
false_only,no_date,1000000,bitcoin will reach 1 million,49,0.21
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",54,0.55
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",90,0.27
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,14,0.19
paired,no_date,100000000,bitcoin will reach 100 million,40,0.37
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",99,0.66
paired,no_date,20000000,bitcoin will reach 20 million,37,0.39
omitted,no_date,1000000,bitcoin will reach 1 million,62,0.12
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",37,0.29
omitted,no_date,1000000,bitcoin will reach 1 million,74,0.12
false_only,no_date,1000000,bitcoin will reach 1 million,90,0.28
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",82,0.53
false_only,no_date,20000000,bitcoin will reach 20 million,2,0.4
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",19,0.43
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",52,0.55
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",36,0.17
omitted,no_date,100000000,bitcoin will reach 100 million,93,0.37
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",32,0.26
paired,no_date,100000000,bitcoin will reach 100 million,86,0.35
false_only,no_date,20000000,bitcoin will reach 20 million,23,0.41
omitted,no_date,100000000,bitcoin will reach 100 million,62,0.37
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",40,0.44
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",84,0.45
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",25,0.28
false_only,no_date,20000000,bitcoin will reach 20 million,80,0.35
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",17,0.54
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",1,0.17
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,76,0.22
empty,no_date,100000000,bitcoin will reach 100 million,72,0.33
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",34,0.18
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",17,0.47
true_only,no_date,100000000,bitcoin will reach 100 million,13,0.49
paired,no_date,100000000,bitcoin will reach 100 million,61,0.33
empty,no_date,100000000,bitcoin will reach 100 million,24,0.35
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",19,0.67
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",15,0.54
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",4,0.12
empty,no_date,100000000,bitcoin will reach 100 million,83,0.34
paired,no_date,100000000,bitcoin will reach 100 million,25,0.32
true_only,no_date,20000000,bitcoin will reach 20 million,31,0.35
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",48,0.4
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,16,0.46
omitted,no_date,1000000,bitcoin will reach 1 million,66,0.11
true_only,no_date,100000000,bitcoin will reach 100 million,8,0.45
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",85,0.4
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",50,0.15
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",23,0.43
paired,no_date,1000000,bitcoin will reach 1 million,44,0.4
paired,no_date,20000000,bitcoin will reach 20 million,36,0.41
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",7,0.46
false_only,no_date,1000000,bitcoin will reach 1 million,28,0.24
omitted,no_date,100000000,bitcoin will reach 100 million,32,0.37
empty,no_date,20000000,bitcoin will reach 20 million,41,0.59
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,87,0.2
paired,no_date,1000000,bitcoin will reach 1 million,51,0.38
empty,no_date,100000000,bitcoin will reach 100 million,48,0.36
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",56,0.17
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,30,0.21
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",84,0.25
paired,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",19,0.29
empty,no_date,20000000,bitcoin will reach 20 million,42,0.6
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",23,0.57
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",47,0.44
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",65,0.64
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",65,0.39
paired,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",69,0.28
false_only,no_date,100000000,bitcoin will reach 100 million,91,0.4
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",83,0.44
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",17,0.38
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",32,0.54
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",98,0.25
paired,no_date,1000000,bitcoin will reach 1 million,69,0.38
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",31,0.26
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",84,0.35
false_only,no_date,1000000,bitcoin will reach 1 million,88,0.26
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",3,0.27
paired,no_date,20000000,bitcoin will reach 20 million,47,0.4
omitted,no_date,1000000,bitcoin will reach 1 million,69,0.1
omitted,no_date,20000000,bitcoin will reach 20 million,52,0.42
empty,no_date,20000000,bitcoin will reach 20 million,66,0.62
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",58,0.46
omitted,no_date,100000000,bitcoin will reach 100 million,27,0.34
true_only,no_date,100000000,bitcoin will reach 100 million,44,0.46
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",92,0.16
omitted,no_date,100000000,bitcoin will reach 100 million,71,0.35
paired,no_date,20000000,bitcoin will reach 20 million,30,0.4
omitted,no_date,20000000,bitcoin will reach 20 million,26,0.46
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",27,0.59
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",8,0.44
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",29,0.26
paired,no_date,100000000,bitcoin will reach 100 million,35,0.36
empty,no_date,100000000,bitcoin will reach 100 million,39,0.29
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",85,0.53
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",41,0.64
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,25,0.45
paired,no_date,1000000,bitcoin will reach 1 million,93,0.42
true_only,no_date,1000000,bitcoin will reach 1 million,90,0.38
paired,no_date,100000000,bitcoin will reach 100 million,60,0.35
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",89,0.56
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,55,0.21
empty,no_date,1000000,bitcoin will reach 1 million,27,0.15
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",6,0.53
true_only,no_date,1000000,bitcoin will reach 1 million,20,0.38
omitted,no_date,20000000,bitcoin will reach 20 million,95,0.43
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,41,0.23
empty,no_date,100000000,bitcoin will reach 100 million,26,0.34
true_only,no_date,100000000,bitcoin will reach 100 million,6,0.45
paired,no_date,1000000,bitcoin will reach 1 million,41,0.39
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",93,0.66
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",65,0.5
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",3,0.61
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",18,0.12
empty,no_date,20000000,bitcoin will reach 20 million,13,0.56
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",100,0.13
true_only,no_date,1000000,bitcoin will reach 1 million,42,0.39
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",92,0.37
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",61,0.13
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",3,0.18
empty,no_date,1000000,bitcoin will reach 1 million,58,0.14
paired,no_date,100000000,bitcoin will reach 100 million,91,0.36
false_only,no_date,20000000,bitcoin will reach 20 million,46,0.4
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",13,0.41
omitted,no_date,1000000,bitcoin will reach 1 million,52,0.1
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,93,0.22
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",10,0.22
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",18,0.25
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",98,0.19
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",79,0.26
omitted,no_date,20000000,bitcoin will reach 20 million,16,0.45
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",92,0.18
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",20,0.13
paired,no_date,20000000,bitcoin will reach 20 million,23,0.39
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,97,0.45
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",75,0.14
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",9,0.16
true_only,no_date,20000000,bitcoin will reach 20 million,64,0.4
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",36,0.43
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",61,0.54
true_only,no_date,100000000,bitcoin will reach 100 million,62,0.46
false_only,no_date,20000000,bitcoin will reach 20 million,93,0.36
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",82,0.4
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,60,0.18
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,75,0.48
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",8,0.18
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",49,0.4
empty,no_date,1000000,bitcoin will reach 1 million,48,0.14
false_only,no_date,100000000,bitcoin will reach 100 million,31,0.41
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",16,0.19
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",82,0.41
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,57,0.23
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",9,0.43
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",5,0.56
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",94,0.54
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",85,0.25
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,48,0.2
paired,no_date,1000000,bitcoin will reach 1 million,39,0.41
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",82,0.47
omitted,no_date,20000000,bitcoin will reach 20 million,14,0.44
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",36,0.14
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",37,0.13
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",96,0.16
paired,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",87,0.24
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",23,0.63
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,61,0.22
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",97,0.56
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",89,0.36
true_only,no_date,100000000,bitcoin will reach 100 million,31,0.49
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,74,0.46
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",33,0.16
omitted,no_date,100000000,bitcoin will reach 100 million,67,0.37
paired,no_date,1000000,bitcoin will reach 1 million,42,0.38
omitted,no_date,20000000,bitcoin will reach 20 million,60,0.45
false_only,no_date,20000000,bitcoin will reach 20 million,59,0.4
empty,no_date,20000000,bitcoin will reach 20 million,10,0.58
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,8,0.16
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",85,0.56
paired,no_date,20000000,bitcoin will reach 20 million,85,0.38
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",55,0.41
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",27,0.29
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,46,0.24
empty,no_date,100000000,bitcoin will reach 100 million,45,0.34
omitted,no_date,1000000,bitcoin will reach 1 million,43,0.09
false_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",36,0.35
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",52,0.39
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,24,0.43
false_only,no_date,20000000,bitcoin will reach 20 million,16,0.38
paired,no_date,20000000,bitcoin will reach 20 million,15,0.42
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,46,0.2
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",14,0.13
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",74,0.6
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",64,0.25
omitted,no_date,20000000,bitcoin will reach 20 million,29,0.45
omitted,no_date,1000000,bitcoin will reach 1 million,47,0.12
true_only,no_date,1000000,bitcoin will reach 1 million,25,0.4
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",76,0.53
true_only,no_date,20000000,bitcoin will reach 20 million,70,0.38
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,31,0.46
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,85,0.21
true_only,no_date,1000000,bitcoin will reach 1 million,82,0.4
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",60,0.41
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",36,0.42
paired,no_date,20000000,bitcoin will reach 20 million,58,0.41
omitted,no_date,100000000,bitcoin will reach 100 million,7,0.36
omitted,no_date,20000000,bitcoin will reach 20 million,41,0.44
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",97,0.42
true_only,no_date,1000000,bitcoin will reach 1 million,58,0.39
omitted,no_date,100000000,bitcoin will reach 100 million,64,0.35
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",52,0.4
paired,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",18,0.27
paired,no_date,20000000,bitcoin will reach 20 million,68,0.39
true_only,no_date,20000000,bitcoin will reach 20 million,84,0.39
true_only,no_date,100000000,bitcoin will reach 100 million,80,0.45
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,67,0.21
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",47,0.56
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",78,0.28
false_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",10,0.32
false_only,no_date,1000000,bitcoin will reach 1 million,64,0.22
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",38,0.13
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",2,0.4
false_only,no_date,100000000,bitcoin will reach 100 million,32,0.42
empty,no_date,20000000,bitcoin will reach 20 million,7,0.59
empty,no_date,1000000,bitcoin will reach 1 million,93,0.13
empty,no_date,1000000,bitcoin will reach 1 million,32,0.14
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,77,0.2
true_only,no_date,20000000,bitcoin will reach 20 million,4,0.38
false_only,no_date,20000000,bitcoin will reach 20 million,88,0.42
false_only,no_date,100000000,bitcoin will reach 100 million,33,0.44
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",40,0.42
omitted,no_date,1000000,bitcoin will reach 1 million,57,0.13
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,65,0.45
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",9,0.51
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",53,0.39
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",52,0.41
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",48,0.41
false_only,no_date,100000000,bitcoin will reach 100 million,71,0.42
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",62,0.4
empty,no_date,100000000,bitcoin will reach 100 million,71,0.33
omitted,no_date,20000000,bitcoin will reach 20 million,90,0.43
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",56,0.42
omitted,no_date,20000000,bitcoin will reach 20 million,27,0.45
false_only,no_date,20000000,bitcoin will reach 20 million,25,0.45
false_only,no_date,1000000,bitcoin will reach 1 million,23,0.25
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",58,0.21
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,80,0.23
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,87,0.45
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",6,0.42
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,1,0.45
true_only,no_date,100000000,bitcoin will reach 100 million,47,0.48
paired,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",62,0.29
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",1,0.25
omitted,no_date,1000000,bitcoin will reach 1 million,75,0.12
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",2,0.15
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,52,0.21
empty,no_date,1000000,bitcoin will reach 1 million,64,0.13
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",38,0.28
false_only,no_date,1000000,bitcoin will reach 1 million,59,0.24
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",96,0.38
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",54,0.23
paired,no_date,20000000,bitcoin will reach 20 million,49,0.38
empty,no_date,20000000,bitcoin will reach 20 million,12,0.59
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",84,0.45
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",63,0.16
true_only,no_date,20000000,bitcoin will reach 20 million,76,0.41
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",35,0.2
empty,no_date,100000000,bitcoin will reach 100 million,8,0.32
false_only,no_date,1000000,bitcoin will reach 1 million,69,0.29
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,19,0.23
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,12,0.44
false_only,no_date,20000000,bitcoin will reach 20 million,78,0.37
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",75,0.4
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",65,0.18
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",17,0.41
omitted,no_date,100000000,bitcoin will reach 100 million,92,0.35
omitted,no_date,20000000,bitcoin will reach 20 million,70,0.48
paired,no_date,1000000,bitcoin will reach 1 million,46,0.37
paired,no_date,20000000,bitcoin will reach 20 million,50,0.38
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",30,0.41
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",15,0.66
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",66,0.41
omitted,no_date,1000000,bitcoin will reach 1 million,73,0.1
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",4,0.39
false_only,no_date,1000000,bitcoin will reach 1 million,43,0.26
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,47,0.49
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",41,0.42
paired,no_date,20000000,bitcoin will reach 20 million,63,0.43
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",58,0.5
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",45,0.13
false_only,no_date,20000000,bitcoin will reach 20 million,5,0.4
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",89,0.38
false_only,no_date,100000000,bitcoin will reach 100 million,76,0.41
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,34,0.46
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",83,0.44
false_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",37,0.32
true_only,no_date,100000000,bitcoin will reach 100 million,98,0.49
omitted,no_date,1000000,bitcoin will reach 1 million,89,0.13
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,37,0.19
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",39,0.41
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",57,0.59
empty,no_date,100000000,bitcoin will reach 100 million,40,0.31
paired,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",44,0.25
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",11,0.41
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,20,0.2
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",48,0.13
omitted,no_date,100000000,bitcoin will reach 100 million,1,0.37
omitted,no_date,20000000,bitcoin will reach 20 million,80,0.45
paired,no_date,100000000,bitcoin will reach 100 million,81,0.36
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",47,0.53
false_only,no_date,100000000,bitcoin will reach 100 million,36,0.42
paired,no_date,1000000,bitcoin will reach 1 million,55,0.4
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",27,0.44
false_only,no_date,100000000,bitcoin will reach 100 million,75,0.41
true_only,no_date,20000000,bitcoin will reach 20 million,22,0.4
true_only,no_date,20000000,bitcoin will reach 20 million,29,0.37
empty,no_date,1000000,bitcoin will reach 1 million,24,0.15
paired,no_date,100000000,bitcoin will reach 100 million,50,0.33
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",81,0.4
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,74,0.2
paired,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",29,0.29
